first_name,second_name,team,now_cost,total_points,minutes
Ben,Davies,18,44,0,0
Radu,Drăgușin,18,45,0,0
Djed,Spence,18,45,13,270
Destiny,Udogie,18,44,1,19
Micky,van de Ven,18,46,13,270
Ashley,Phillips,18,40,0,0
Takai,Kōta,18,40,0,0
Luka,Vušković,18,39,0,0
Son,Heung-min,18,85,0,0
Brennan,Johnson,18,71,18,209
James,Maddison,18,69,0,0
Mohammed,Kudus,18,66,15,259
Dejan,Kulusevski,18,64,0,0
Mathys,Tel,18,63,2,19
Rodrigo,Bentancur,18,55,6,199
Lucas,Bergvall,18,54,5,119
Yves,Bissouma,18,53,0,0
Wilson,Odobert,18,54,3,58
Manor,Solomon,18,54,0,0
Bryan,Gil Salvatierra,18,49,0,0
Archie,Gray,18,49,3,70
Mikey,Moore,18,50,0,0
Pape Matar,Sarr,18,50,11,255
Yang,Min-hyeok,18,45,0,0
Callum,Olusesi,18,44,0,0
Dominic,Solanke-Mitchell,18,73,2,31
Richarlison,de Andrade,18,67,19,238
Will,Lankshear,18,45,0,0
Dane,Scarlett,18,44,0,0
João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,18,55,13,153
Xavi,Simons,18,70,0,0
Randal,Kolo Muani,18,70,0,0
Igor Julio,dos Santos de Paulo,19,45,0,0
Alphonse,Areola,19,44,0,0
Wes,Foderingham,19,40,0,0
Krisztián,Hegyi,19,40,0,0
El Hadji Malick,Diouf,19,45,14,270
Emerson,Palmieri dos Santos,19,44,0,0
Maximilian,Kilman,19,44,6,270
Konstantinos,Mavropanos,19,44,6,90
Nayef,Aguerd,19,44,3,180
Ollie,Scarles,19,44,0,0
Jean-Clair,Todibo,19,44,1,126
Aaron,Wan-Bissaka,19,44,1,180
Kaelan,Casey,19,40,0,0
Lucas,Tolentino Coelho de Lima,19,59,21,270
Tomáš,Souček,19,58,6,178
James,Ward-Prowse,19,59,7,234
Crysencio,Summerville,19,55,7,8
Edson,Álvarez Velázquez,19,49,0,0
Maxwel,Cornet,19,49,0,0
Guido,Rodríguez,19,49,2,70
Luis Guilherme,Lira dos Santos,19,49,0,0
George,Earthy,19,45,0,0
Andy,Irving,19,45,2,23
Lewis,Orford,19,44,0,0
Freddie,Potts,19,44,1,45
Jarrod,Bowen,19,78,13,270
Niclas,Füllkrug,19,58,5,198
Callum,Marshall,19,44,0,0
Kyle,Walker-Peters,19,44,7,110
Callum,Wilson,19,59,9,90
Mads,Hermansen,19,45,8,270
Mateus Gonçalo,Espanha Fernandes,19,55,3,81
Soungoutou,Magassa,19,50,0,0
Sam,Johnstone,20,45,0,0
José,Malheiro de Sá,20,45,4,270
Daniel,Bentley,20,40,0,0
Emmanuel,Agbadou,20,45,5,270
Matt,Doherty,20,45,0,180
Hugo,Bueno López,20,45,2,137
Yerson,Mosquera Valdelamar,20,44,0,0
Rodrigo,Martins Gomes,20,45,8,44
Santiago,Ignacio Bueno,20,45,4,124
Toti,Gomes,20,45,1,228
Ki-Jana,Hoever,20,40,2,106
Bastien,Meupiyou Menadjou,20,40,0,0
Pedro,Cardoso de Lima,20,40,0,0
Alfie,Pond,20,40,0,0
Hwang,Hee-chan,20,59,9,95
André,Trindade da Costa Neto,20,55,7,179
Jean-Ricner,Bellegarde,20,54,4,143
Fer,López González,20,54,2,44
João Victor,Gomes da Silva,20,55,5,270
